POINTID,collarID,collOrig,SEX,Treatment,PrePost,ID,Timestamp,Northing,Easting
1,40991,40991,F,H2L,PostMove,40991 PostMove,11/18/2018 0:00:0,33.334943,-81.667915
2,40991,40991,F,H2L,PostMove,40991 PostMove,11/18/2018 2:00:0,33.334955,-81.6678
3,40991,40991,F,H2L,PostMove,40991 PostMove,11/18/2018 4:00:0,33.334924,-81.667915
4,40991,40991,F,H2L,PostMove,40991 PostMove,11/18/2018 6:00:0,33.334161,-81.667915
5,40991,40991,F,H2L,PostMove,40991 PostMove,11/18/2018 12:00:0,33.334949,-81.667864
6,40991,40991,F,H2L,PostMove,40991 PostMove,11/18/2018 18:00:0,33.334905,-81.66794
7,40991,40991,F,H2L,PostMove,40991 PostMove,11/18/2018 20:00:0,33.328083,-81.669034
8,40991,40991,F,H2L,PostMove,40991 PostMove,11/18/2018 22:00:0,33.323931,-81.682919
9,40991,40991,F,H2L,PostMove,40991 PostMove,11/19/2018 0:00:0,33.323575,-81.682957
10,40991,40991,F,H2L,PostMove,40991 PostMove,11/19/2018 2:00:0,33.323632,-81.682919
11,40991,40991,F,H2L,PostMove,40991 PostMove,11/19/2018 4:00:0,33.323823,-81.683008
12,40991,40991,F,H2L,PostMove,40991 PostMove,11/19/2018 6:00:0,33.323607,-81.683072
13,40991,40991,F,H2L,PostMove,40991 PostMove,11/19/2018 12:00:0,33.323556,-81.683085
14,40991,40991,F,H2L,PostMove,40991 PostMove,11/19/2018 18:00:0,33.325546,-81.682665
15,40991,40991,F,H2L,PostMove,40991 PostMove,11/19/2018 20:00:0,33.318781,-81.667533
16,40991,40991,F,H2L,PostMove,40991 PostMove,11/19/2018 22:00:0,33.318272,-81.674654
17,40991,40991,F,H2L,PostMove,40991 PostMove,11/20/2018 0:00:0,33.319849,-81.688044
18,40991,40991,F,H2L,PostMove,40991 PostMove,11/20/2018 2:00:0,33.320345,-81.685475
19,40991,40991,F,H2L,PostMove,40991 PostMove,11/20/2018 4:00:0,33.320345,-81.685513
20,40991,40991,F,H2L,PostMove,40991 PostMove,11/20/2018 6:00:0,33.320243,-81.685386
21,40991,40991,F,H2L,PostMove,40991 PostMove,11/20/2018 12:00:0,33.320377,-81.685539
22,40991,40991,F,H2L,PostMove,40991 PostMove,11/20/2018 18:00:0,33.320059,-81.685437
23,40991,40991,F,H2L,PostMove,40991 PostMove,11/20/2018 20:00:0,33.315882,-81.688451
