POINTID,collarID,collOrig,SEX,Treatment,PrePost,ID,Timestamp,Northing,Easting
305,40991,40991,F,H2L,PreMove,40991 PreMove,9/9/2018 0:00:0,33.147692,-81.705426
306,40991,40991,F,H2L,PreMove,40991 PreMove,9/9/2018 2:00:0,33.147755,-81.706138
307,40991,40991,F,H2L,PreMove,40991 PreMove,9/9/2018 4:00:0,33.144144,-81.703748
308,40991,40991,F,H2L,PreMove,40991 PreMove,9/9/2018 6:00:0,33.147018,-81.708402
309,40991,40991,F,H2L,PreMove,40991 PreMove,9/9/2018 12:00:0,33.148162,-81.708414
310,40991,40991,F,H2L,PreMove,40991 PreMove,9/9/2018 18:00:0,33.147889,-81.708402
311,40991,40991,F,H2L,PreMove,40991 PreMove,9/9/2018 20:00:0,33.147571,-81.707588
312,40991,40991,F,H2L,PreMove,40991 PreMove,9/9/2018 22:00:0,33.146706,-81.706075
313,40991,40991,F,H2L,PreMove,40991 PreMove,9/10/2018 0:00:0,33.146344,-81.705464
314,40991,40991,F,H2L,PreMove,40991 PreMove,9/10/2018 2:00:0,33.149987,-81.702069
315,40991,40991,F,H2L,PreMove,40991 PreMove,9/10/2018 4:00:0,33.15096,-81.703976
316,40991,40991,F,H2L,PreMove,40991 PreMove,9/10/2018 6:00:0,33.149714,-81.707397
317,40991,40991,F,H2L,PreMove,40991 PreMove,9/10/2018 18:00:0,33.150877,-81.704638
318,40991,40991,F,H2L,PreMove,40991 PreMove,9/10/2018 20:00:0,33.150394,-81.703048
319,40991,40991,F,H2L,PreMove,40991 PreMove,9/10/2018 22:00:0,33.147342,-81.704892
320,40991,40991,F,H2L,PreMove,40991 PreMove,9/11/2018 0:00:0,33.146071,-81.706214
321,40991,40991,F,H2L,PreMove,40991 PreMove,9/11/2018 2:00:0,33.146045,-81.706265
322,40991,40991,F,H2L,PreMove,40991 PreMove,9/11/2018 4:00:0,33.145193,-81.70376
323,40991,40991,F,H2L,PreMove,40991 PreMove,9/11/2018 6:00:0,33.145696,-81.705808
324,40991,40991,F,H2L,PreMove,40991 PreMove,9/11/2018 12:00:0,33.144939,-81.706176
325,40991,40991,F,H2L,PreMove,40991 PreMove,9/11/2018 18:00:0,33.144983,-81.706011
326,40991,40991,F,H2L,PreMove,40991 PreMove,9/11/2018 20:00:0,33.144437,-81.704943
327,40991,40991,F,H2L,PreMove,40991 PreMove,9/11/2018 22:00:0,33.144913,-81.705057
328,40991,40991,F,H2L,PreMove,40991 PreMove,9/12/2018 0:00:0,33.146662,-81.707079
329,40991,40991,F,H2L,PreMove,40991 PreMove,9/12/2018 2:00:0,33.149599,-81.707435
330,40991,40991,F,H2L,PreMove,40991 PreMove,9/12/2018 4:00:0,33.150966,-81.703989
331,40991,40991,F,H2L,PreMove,40991 PreMove,9/12/2018 6:00:0,33.150871,-81.698216
332,40991,40991,F,H2L,PreMove,40991 PreMove,9/12/2018 12:00:0,33.150864,-81.704333
333,40991,40991,F,H2L,PreMove,40991 PreMove,9/12/2018 18:00:0,33.147972,-81.706202
334,40991,40991,F,H2L,PreMove,40991 PreMove,9/12/2018 20:00:0,33.146668,-81.705591
335,40991,40991,F,H2L,PreMove,40991 PreMove,9/12/2018 22:00:0,33.146706,-81.7061
336,40991,40991,F,H2L,PreMove,40991 PreMove,9/13/2018 0:00:0,33.146605,-81.706214
337,40991,40991,F,H2L,PreMove,40991 PreMove,9/13/2018 2:00:0,33.145428,-81.706202
338,40991,40991,F,H2L,PreMove,40991 PreMove,9/13/2018 4:00:0,33.146567,-81.707664
339,40991,40991,F,H2L,PreMove,40991 PreMove,9/13/2018 6:00:0,33.146732,-81.707995
340,40991,40991,F,H2L,PreMove,40991 PreMove,9/13/2018 12:00:0,33.152091,-81.708732
341,40991,40991,F,H2L,PreMove,40991 PreMove,9/13/2018 18:00:0,33.152263,-81.708694
342,40991,40991,F,H2L,PreMove,40991 PreMove,9/13/2018 20:00:0,33.152963,-81.707906
343,40991,40991,F,H2L,PreMove,40991 PreMove,9/13/2018 22:00:0,33.147012,-81.705095
344,40991,40991,F,H2L,PreMove,40991 PreMove,9/14/2018 0:00:0,33.146274,-81.706596
345,40991,40991,F,H2L,PreMove,40991 PreMove,9/14/2018 2:00:0,33.145435,-81.70596
346,40991,40991,F,H2L,PreMove,40991 PreMove,9/14/2018 4:00:0,33.141684,-81.703252
347,40991,40991,F,H2L,PreMove,40991 PreMove,9/14/2018 6:00:0,33.145753,-81.706431
348,40991,40991,F,H2L,PreMove,40991 PreMove,9/14/2018 12:00:0,33.145543,-81.707651
349,40991,40991,F,H2L,PreMove,40991 PreMove,9/14/2018 18:00:0,33.145537,-81.708389
350,40991,40991,F,H2L,PreMove,40991 PreMove,9/14/2018 20:00:0,33.14752,-81.707995
351,40991,40991,F,H2L,PreMove,40991 PreMove,9/14/2018 22:00:0,33.147584,-81.705426
352,40991,40991,F,H2L,PreMove,40991 PreMove,9/15/2018 0:00:0,33.146605,-81.704116
353,40991,40991,F,H2L,PreMove,40991 PreMove,9/15/2018 2:00:0,33.151659,-81.698585
354,40991,40991,F,H2L,PreMove,40991 PreMove,9/15/2018 4:00:0,33.151964,-81.699882
355,40991,40991,F,H2L,PreMove,40991 PreMove,9/15/2018 6:00:0,33.151036,-81.703404
356,40991,40991,F,H2L,PreMove,40991 PreMove,9/15/2018 18:00:0,33.151208,-81.704803
